SOUTHEAST ASIAN CLIMATE ASSESSMENT & DATASET (SACA&D), file created on 10-05-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2011. Daily dataset for climate extremes
analyses in Southeast Asia.
In preparation
Data and metadata available at http://saca-bmkg.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INDONESIA, 	STASIUN METEOROLOGI MARITIM TANJUNG PRIOK	 (STAID: 101).
Blended and updated with sources: 100001 100101 101985 101987 996741 996745 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100101,18670705,   34,    0
100101,18670706,    0,    0
100101,18670707,    0,    0
100101,18670708,   51,    0
100101,18670709,   28,    0
100101,18670710,    0,    0
100101,18670711,    0,    0
100101,18670712,    0,    0
100101,18670713,    0,    0
100101,18670714,    0,    0
100101,18670715,    0,    0
100101,18670716,    0,    0
100101,18670717,    0,    0
100101,18670718,    0,    0
100101,18670719,    0,    0
100101,18670720,  129,    0
100101,18670721,    0,    0
100101,18670722,    0,    0
100101,18670723,    0,    0
100101,18670724,    6,    0
100101,18670725,    0,    0
100101,18670726,    0,    0
100101,18670727,  180,    0
100101,18670728,    0,    0
100101,18670729,   25,    0
100101,18670730,    0,    0
100101,18670731,    0,    0
100101,18670801,   17,    0
100101,18670802,    8,    0
100101,18670803,    0,    0
100101,18670804,    0,    0
100101,18670805,   33,    0
100101,18670806,    0,    0
100101,18670807,    0,    0
100101,18670808,    8,    0
100101,18670809,   13,    0
100101,18670810,    0,    0
100101,18670811,    0,    0
100101,18670812,    0,    0
100101,18670813,    0,    0
100101,18670814,    0,    0
100101,18670815,    0,    0
100101,18670816,    0,    0
100101,18670817,   74,    0
100101,18670818,-9999,    9
100101,18670819,    0,    0
100101,18670820,    0,    0
100101,18670821,   32,    0
100101,18670822,   26,    0
100101,18670823,   75,    0
100101,18670824,    0,    0
100101,18670825,-9999,    9
100101,18670826,    0,    0
100101,18670827,    0,    0
100101,18670828,    0,    0
100101,18670829,    0,    0
100101,18670830,    0,    0
100101,18670831,    0,    0
100101,18670901,    0,    0
100101,18670902,    0,    0
100101,18670903,   15,    0
100101,18670904,    9,    0
100101,18670905,   33,    0
100101,18670906,    0,    0
100101,18670907,    0,    0
100101,18670908,    0,    0
100101,18670909,   40,    0
100101,18670910,    0,    0
100101,18670911,    0,    0
100101,18670912,    0,    0
100101,18670913,  287,    0
100101,18670914,   40,    0
100101,18670915,-9999,    9
100101,18670916,  124,    0
100101,18670917,  162,    0
100101,18670918,   31,    0
100101,18670919,    0,    0
100101,18670920,    0,    0
100101,18670921,    0,    0
100101,18670922,    0,    0
100101,18670923,    0,    0
100101,18670924,    0,    0
100101,18670925,    0,    0
100101,18670926,    0,    0
100101,18670927,    0,    0
100101,18670928,   21,    0
100101,18670929,    0,    0
100101,18670930,    0,    0
100101,18671001,   26,    0
100101,18671002,    0,    0
100101,18671003,    0,    0
100101,18671004,    7,    0
100101,18671005,   99,    0
100101,18671006,    0,    0
100101,18671007,    0,    0
100101,18671008,    0,    0
100101,18671009,    6,    0
100101,18671010,    0,    0
100101,18671011,    0,    0
100101,18671012,    0,    0
100101,18671013,-9999,    9
100101,18671014,    0,    0
100101,18671015,    1,    0
100101,18671016,    0,    0
100101,18671017,   13,    0
100101,18671018,  596,    0
100101,18671019,    0,    0
100101,18671020,    0,    0
100101,18671021,    4,    0
100101,18671022,    0,    0
100101,18671023,  187,    0
100101,18671024,   79,    0
100101,18671025, 1102,    0
100101,18671026,    0,    0
100101,18671027,    0,    0
100101,18671028,    0,    0
100101,18671029,    0,    0
100101,18671030,   14,    0
100101,18671031,  397,    0
100101,18671101,   56,    0
100101,18671102,    0,    0
100101,18671103,    0,    0
100101,18671104,   61,    0
100101,18671105,  200,    0
100101,18671106,    7,    0
100101,18671107,    9,    0
100101,18671108,    0,    0
100101,18671109,    0,    0
100101,18671110,    0,    0
